Approach,Total_Time_s,Avg_Time_ms,Sequence1_Size,Sequence2_Size,Time_ms
MelDet,1.0794092499891121,10.794092499891121,7,7,0.19919999976991676
MelDet,1.0794092499891121,10.794092499891121,7,17,0.5393499995989259
MelDet,1.0794092499891121,10.794092499891121,7,27,0.8748499985813396
MelDet,1.0794092499891121,10.794092499891121,7,37,1.2095499987481162
MelDet,1.0794092499891121,10.794092499891121,7,47,1.5391500019177329
MelDet,1.0794092499891121,10.794092499891121,7,57,1.8783999985316768
MelDet,1.0794092499891121,10.794092499891121,7,67,2.1980999990773853
MelDet,1.0794092499891121,10.794092499891121,7,77,2.5423499992029974
MelDet,1.0794092499891121,10.794092499891121,7,87,2.8977999991184333
MelDet,1.0794092499891121,10.794092499891121,7,97,3.2332499995391117
MelDet,1.0794092499891121,10.794092499891121,17,7,0.5345999998098705
MelDet,1.0794092499891121,10.794092499891121,17,17,1.1226500009797746
MelDet,1.0794092499891121,10.794092499891121,17,27,1.8678500018722843
MelDet,1.0794092499891121,10.794092499891121,17,37,2.603099999760161
MelDet,1.0794092499891121,10.794092499891121,17,47,3.339150000101654
MelDet,1.0794092499891121,10.794092499891121,17,57,4.080150001755101
MelDet,1.0794092499891121,10.794092499891121,17,67,4.805399998076609
MelDet,1.0794092499891121,10.794092499891121,17,77,5.516450000868645
MelDet,1.0794092499891121,10.794092499891121,17,87,6.287000000156695
MelDet,1.0794092499891121,10.794092499891121,17,97,7.011350000539096
MelDet,1.0794092499891121,10.794092499891121,27,7,0.8736499985388946
MelDet,1.0794092499891121,10.794092499891121,27,17,1.8739000006462447
MelDet,1.0794092499891121,10.794092499891121,27,27,2.8219000014360063
MelDet,1.0794092499891121,10.794092499891121,27,37,3.9644999997108243
MelDet,1.0794092499891121,10.794092499891121,27,47,5.077449999589589
MelDet,1.0794092499891121,10.794092499891121,27,57,6.2256500004878035
MelDet,1.0794092499891121,10.794092499891121,27,67,7.467199999155127
MelDet,1.0794092499891121,10.794092499891121,27,77,8.552200000849552
MelDet,1.0794092499891121,10.794092499891121,27,87,9.602699999959441
MelDet,1.0794092499891121,10.794092499891121,27,97,11.258350001298822
MelDet,1.0794092499891121,10.794092499891121,37,7,1.2330499994277488
MelDet,1.0794092499891121,10.794092499891121,37,17,2.6515999998082407
MelDet,1.0794092499891121,10.794092499891121,37,27,4.034300000057556
MelDet,1.0794092499891121,10.794092499891121,37,37,5.337949998647673
MelDet,1.0794092499891121,10.794092499891121,37,47,6.916000000273925
MelDet,1.0794092499891121,10.794092499891121,37,57,8.490600001096027
MelDet,1.0794092499891121,10.794092499891121,37,67,9.960650000721216
MelDet,1.0794092499891121,10.794092499891121,37,77,11.52149999870744
MelDet,1.0794092499891121,10.794092499891121,37,87,13.057399997705943
MelDet,1.0794092499891121,10.794092499891121,37,97,14.663699999800883
MelDet,1.0794092499891121,10.794092499891121,47,7,1.5621500006091082
MelDet,1.0794092499891121,10.794092499891121,47,17,3.363149999131565
MelDet,1.0794092499891121,10.794092499891121,47,27,5.1096499992127065
MelDet,1.0794092499891121,10.794092499891121,47,37,6.833850002294639
MelDet,1.0794092499891121,10.794092499891121,47,47,8.484699998007272
MelDet,1.0794092499891121,10.794092499891121,47,57,10.513100001844577
MelDet,1.0794092499891121,10.794092499891121,47,67,12.428849999196245
MelDet,1.0794092499891121,10.794092499891121,47,77,14.244050000343123
MelDet,1.0794092499891121,10.794092499891121,47,87,16.219399998590234
MelDet,1.0794092499891121,10.794092499891121,47,97,18.288350000148057
MelDet,1.0794092499891121,10.794092499891121,57,7,1.8879500003095018
MelDet,1.0794092499891121,10.794092499891121,57,17,4.093749999810825
MelDet,1.0794092499891121,10.794092499891121,57,27,6.237949999558623
MelDet,1.0794092499891121,10.794092499891121,57,37,8.34480000048643
MelDet,1.0794092499891121,10.794092499891121,57,47,10.453299999426235
MelDet,1.0794092499891121,10.794092499891121,57,57,12.503300000389572
MelDet,1.0794092499891121,10.794092499891121,57,67,14.940799999749288
MelDet,1.0794092499891121,10.794092499891121,57,77,17.2912499983795
MelDet,1.0794092499891121,10.794092499891121,57,87,19.53884999966249
MelDet,1.0794092499891121,10.794092499891121,57,97,21.858900001461734
MelDet,1.0794092499891121,10.794092499891121,67,7,2.215549999164068
MelDet,1.0794092499891121,10.794092499891121,67,17,4.81739999850106
MelDet,1.0794092499891121,10.794092499891121,67,27,7.372050000412855
MelDet,1.0794092499891121,10.794092499891121,67,37,9.894299999359646
MelDet,1.0794092499891121,10.794092499891121,67,47,12.419049999152776
MelDet,1.0794092499891121,10.794092499891121,67,57,14.77195000188658
MelDet,1.0794092499891121,10.794092499891121,67,67,17.351399999824935
MelDet,1.0794092499891121,10.794092499891121,67,77,20.099400000617607
MelDet,1.0794092499891121,10.794092499891121,67,87,22.94535000146425
MelDet,1.0794092499891121,10.794092499891121,67,97,25.73590000065451
MelDet,1.0794092499891121,10.794092499891121,77,7,2.5693999996292405
MelDet,1.0794092499891121,10.794092499891121,77,17,5.570900000748225
MelDet,1.0794092499891121,10.794092499891121,77,27,9.209799998643575
MelDet,1.0794092499891121,10.794092499891121,77,37,11.599350000324193
MelDet,1.0794092499891121,10.794092499891121,77,47,14.392699999007164
MelDet,1.0794092499891121,10.794092499891121,77,57,17.305850000411738
MelDet,1.0794092499891121,10.794092499891121,77,67,20.040649998918525
MelDet,1.0794092499891121,10.794092499891121,77,77,22.78949999890756
MelDet,1.0794092499891121,10.794092499891121,77,87,25.897100000292994
MelDet,1.0794092499891121,10.794092499891121,77,97,29.186349998781225
MelDet,1.0794092499891121,10.794092499891121,87,7,3.13339999775053
MelDet,1.0794092499891121,10.794092499891121,87,17,6.325700000161305
MelDet,1.0794092499891121,10.794092499891121,87,27,9.712399998534238
MelDet,1.0794092499891121,10.794092499891121,87,37,13.134549999449519
MelDet,1.0794092499891121,10.794092499891121,87,47,16.421699998318218
MelDet,1.0794092499891121,10.794092499891121,87,57,19.636349998108926
MelDet,1.0794092499891121,10.794092499891121,87,67,22.798349998993217
MelDet,1.0794092499891121,10.794092499891121,87,77,26.00910000001022
MelDet,1.0794092499891121,10.794092499891121,87,87,29.262399999424815
MelDet,1.0794092499891121,10.794092499891121,87,97,32.798650001495844
MelDet,1.0794092499891121,10.794092499891121,97,7,3.2860000010259682
MelDet,1.0794092499891121,10.794092499891121,97,17,7.110450000254787
MelDet,1.0794092499891121,10.794092499891121,97,27,10.942500000965083
MelDet,1.0794092499891121,10.794092499891121,97,37,14.653100000941777
MelDet,1.0794092499891121,10.794092499891121,97,47,18.335900000238325
MelDet,1.0794092499891121,10.794092499891121,97,57,22.0042500004638
MelDet,1.0794092499891121,10.794092499891121,97,67,25.568650000423077
MelDet,1.0794092499891121,10.794092499891121,97,77,29.117000000042026
MelDet,1.0794092499891121,10.794092499891121,97,87,32.74290000081237
MelDet,1.0794092499891121,10.794092499891121,97,97,36.169900000459165
Hungarian,1.0455025999908685,10.455025999908685,7,7,0.19629999951575883
Hungarian,1.0455025999908685,10.455025999908685,7,17,0.4649499987863237
Hungarian,1.0455025999908685,10.455025999908685,7,27,0.7344500008912291
Hungarian,1.0455025999908685,10.455025999908685,7,37,1.0022999995271675
Hungarian,1.0455025999908685,10.455025999908685,7,47,1.2640999993891455
Hungarian,1.0455025999908685,10.455025999908685,7,57,1.533100001324783
Hungarian,1.0455025999908685,10.455025999908685,7,67,1.7997499999182764
Hungarian,1.0455025999908685,10.455025999908685,7,77,2.080950000163284
Hungarian,1.0455025999908685,10.455025999908685,7,87,2.3516000001109205
Hungarian,1.0455025999908685,10.455025999908685,7,97,2.62279999878956
Hungarian,1.0455025999908685,10.455025999908685,17,7,0.4643499996745959
Hungarian,1.0455025999908685,10.455025999908685,17,17,1.1252499989495846
Hungarian,1.0455025999908685,10.455025999908685,17,27,1.776449998942553
Hungarian,1.0455025999908685,10.455025999908685,17,37,2.4417500007984927
Hungarian,1.0455025999908685,10.455025999908685,17,47,3.0941000004531816
Hungarian,1.0455025999908685,10.455025999908685,17,57,3.800099999352824
Hungarian,1.0455025999908685,10.455025999908685,17,67,4.388599998492282
Hungarian,1.0455025999908685,10.455025999908685,17,77,5.044949997682124
Hungarian,1.0455025999908685,10.455025999908685,17,87,5.6710500011831755
Hungarian,1.0455025999908685,10.455025999908685,17,97,6.338749999486026
Hungarian,1.0455025999908685,10.455025999908685,27,7,0.7345500016526785
Hungarian,1.0455025999908685,10.455025999908685,27,17,1.7716500005917624
Hungarian,1.0455025999908685,10.455025999908685,27,27,2.8171499998279614
Hungarian,1.0455025999908685,10.455025999908685,27,37,3.8413999991462333
Hungarian,1.0455025999908685,10.455025999908685,27,47,4.9825000005512265
Hungarian,1.0455025999908685,10.455025999908685,27,57,5.966550001176074
Hungarian,1.0455025999908685,10.455025999908685,27,67,6.955749999178806
Hungarian,1.0455025999908685,10.455025999908685,27,77,8.031049997953232
Hungarian,1.0455025999908685,10.455025999908685,27,87,9.008600001834566
Hungarian,1.0455025999908685,10.455025999908685,27,97,10.207049999735318
Hungarian,1.0455025999908685,10.455025999908685,37,7,1.0130500013474375
Hungarian,1.0455025999908685,10.455025999908685,37,17,2.441799999360228
Hungarian,1.0455025999908685,10.455025999908685,37,27,3.8542000020242995
Hungarian,1.0455025999908685,10.455025999908685,37,37,5.250950000117882
Hungarian,1.0455025999908685,10.455025999908685,37,47,6.688400000712136
Hungarian,1.0455025999908685,10.455025999908685,37,57,8.130199999868637
Hungarian,1.0455025999908685,10.455025999908685,37,67,9.515149999060668
Hungarian,1.0455025999908685,10.455025999908685,37,77,10.98545000058948
Hungarian,1.0455025999908685,10.455025999908685,37,87,12.365099999442464
Hungarian,1.0455025999908685,10.455025999908685,37,97,13.81385000058799
Hungarian,1.0455025999908685,10.455025999908685,47,7,1.2709500006167218
Hungarian,1.0455025999908685,10.455025999908685,47,17,3.0651500001113163
Hungarian,1.0455025999908685,10.455025999908685,47,27,4.86194999939471
Hungarian,1.0455025999908685,10.455025999908685,47,37,6.685949998427532
Hungarian,1.0455025999908685,10.455025999908685,47,47,8.457899999484653
Hungarian,1.0455025999908685,10.455025999908685,47,57,10.407299998405506
Hungarian,1.0455025999908685,10.455025999908685,47,67,12.20254999861936
Hungarian,1.0455025999908685,10.455025999908685,47,77,13.9774999988731
Hungarian,1.0455025999908685,10.455025999908685,47,87,15.740700002425001
Hungarian,1.0455025999908685,10.455025999908685,47,97,17.727350001223385
Hungarian,1.0455025999908685,10.455025999908685,57,7,1.599149998583016
Hungarian,1.0455025999908685,10.455025999908685,57,17,3.883999999743537
Hungarian,1.0455025999908685,10.455025999908685,57,27,6.151599998702295
Hungarian,1.0455025999908685,10.455025999908685,57,37,8.12344999940251
Hungarian,1.0455025999908685,10.455025999908685,57,47,10.626600002069608
Hungarian,1.0455025999908685,10.455025999908685,57,57,12.603900000613066
Hungarian,1.0455025999908685,10.455025999908685,57,67,14.76850000108243
Hungarian,1.0455025999908685,10.455025999908685,57,77,16.972450001048855
Hungarian,1.0455025999908685,10.455025999908685,57,87,19.180600000254344
Hungarian,1.0455025999908685,10.455025999908685,57,97,21.445550000862568
Hungarian,1.0455025999908685,10.455025999908685,67,7,1.8139999992854428
Hungarian,1.0455025999908685,10.455025999908685,67,17,4.391899999973248
